X,Y,OBJECTID,site_name,feature_type_name,EASTING,NORTHING,asset_id_code,site_code,number_bins,bin_size
323246.25,672436.300000001,2481497,Mcleod Street,WS: Bottle Bank - Mixed,323246,672436,,7903443,1,660
323204.25,672553.02,2481498,Mcleod Street,WS: Bottle Bank - Mixed,323204,672553,,7903443,1,660
322903.52,672360.140000001,2481499,Smithfield Street,WS: Bottle Bank - Mixed,322904,672360,,7903260,1,660
322903.63,672360.01,2481500,Smithfield Street,WS: Packaging,322904,672360,,7903260,2,1280
322899.95,672336.390000001,2481501,Smithfield Street,WS: Bottle Bank - Mixed,322900,672336,,7903260,1,660
322900.29,672336.550000001,2481502,Smithfield Street,WS: Packaging,322900,672337,,7903260,2,1280
322899.49,672338.07,2481503,Smithfield Street,WS: Food Waste Communal,322899,672338,,7903260,1,240
322900.47,672337.550000001,2481504,Smithfield Street,WS: Communal Bin,322900,672338,,7903260,2,1280
322924.4,672295.369999999,2481505,Smithfield Street,WS: Bottle Bank - Mixed,322924,672295,,7903260,1,660
322924.31,672294.76,2481506,Smithfield Street,WS: Communal Bin,322924,672295,,7903260,2,1280
322923.03,672275.68,2481507,Smithfield Street,WS: Bottle Bank - Mixed,322923,672276,,7903260,1,660
322922.61,672275.310000001,2481508,Smithfield Street,WS: Packaging,322923,672275,,7903260,2,1280
322922.78,672275.220000001,2481509,Smithfield Street,WS: Food Waste Communal,322923,672275,,7903260,1,240
323025.59,672317.640000001,2481510,Wheatfield Street,WS: Bottle Bank - Mixed,323026,672318,,7903404,1,660
323024.74,672317.57,2481511,Wheatfield Street,WS: Packaging,323025,672318,,7903404,2,1280
323025.0,672317.73,2481512,Wheatfield Street,WS: Food Waste Communal,323025,672318,,7903404,1,240
323025.0,672317.73,2481513,Wheatfield Street,WS: Communal Bin,323025,672318,,7903404,2,1280
323036.02,672325.07,2481514,Wheatfield Street,WS: Bottle Bank - Mixed,323036,672325,,7903404,1,660
323036.02,672325.24,2481515,Wheatfield Street,WS: Packaging,323036,672325,,7903404,2,1280
323036.16,672325.060000001,2481516,Wheatfield Street,WS: Food Waste Communal,323036,672325,,7903404,1,240
323036.08,672325.310000001,2481517,Wheatfield Street,WS: Communal Bin,323036,672325,,7903404,2,1280
323003.31,672359.199999999,2481518,Wheatfield Terrace,WS: Bottle Bank - Mixed,323003,672359,,7903405,1,660
323002.98,672359.59,2481519,Wheatfield Terrace,WS: Packaging,323003,672360,,7903405,2,1280
323003.19,672359.84,2481520,Wheatfield Terrace,WS: Food Waste Communal,323003,672360,,7903405,1,240
322995.71,672405.689999999,2481521,Wheatfield Place,WS: Bottle Bank - Mixed,322996,672406,,7903402,1,660
322996.59,672405.41,2481522,Wheatfield Place,WS: Packaging,322997,672405,,7903402,2,1280
323043.87,671894.18,2481523,Hermand Crescent,WS: Bottle Bank - Mixed,323044,671894,,7902915,1,660
323205.31,672337.35,2481524,Newton Street,WS: Food Waste Communal,323205,672337,,7903093,1,240
