,OBJECTID,site_name,feature_type_name,site_code,number_bins,LAT,LON
1004,2482502,Potterrow,Packaging recycling,7902101,1,55.94472,-3.1860873
1361,2482859,West Adam Street,General waste,7902269,2,55.947227,-3.1833296
1725,2483223,Simon Square,Bottle recycling,7902173,1,55.944617,-3.1828177
1726,2483224,Simon Square,Food waste,7902173,1,55.944617,-3.1828177
1727,2483225,Simon Square,Packaging recycling,7902173,1,55.944617,-3.1828177
1728,2483226,Simon Square,General waste,7902173,1,55.944617,-3.1828177
3330,2484852,Heriot Bridge,General waste,7901857,1,55.947349,-3.1958235
3419,2484944,Forrest Road,General waste,7901791,4,55.945695,-3.191241
3420,2484945,Forrest Road,General waste,7901791,2,55.945994,-3.19101
3942,2485469,King's Stables Road,Packaging recycling,7901886,3,55.947077,-3.1979128
3959,2485486,Buccleuch Street,General waste,7901677,2,55.94262,-3.1839416
4129,2485656,Gifford Park,General waste,7901803,2,55.941982,-3.1831056
4283,2485810,St Patrick Square,General waste,7902214,3,55.943152,-3.1828211
4317,2485844,Meadow Lane,General waste,7901967,4,55.942496,-3.1847064
4321,2485848,Gray's Court,Paper recycling,7904754,1,55.944773,-3.1843436
4503,2486030,East Crosscauseway,Bottle recycling,7904417,1,55.943831,-3.1832581
4573,2486100,East Crosscauseway,Food waste,7904417,1,55.943863,-3.1827947
4574,2486101,East Crosscauseway,Bottle recycling,7904417,1,55.943862,-3.1828107
4575,2486102,East Crosscauseway,Packaging recycling,7904417,2,55.943862,-3.1828267
4576,2486103,East Crosscauseway,General waste,7904417,2,55.943871,-3.182827
4748,2486275,Melville Terrace,Paper recycling,7901978,1,55.939862,-3.1829769
4771,2486298,Ascham Court,Textile recycling,7905840,1,55.941813,-3.1847496
4772,2486299,Buccleuch Place,Food waste,7901676,1,55.942823,-3.1862854
4773,2486300,Buccleuch Place,Bottle recycling,7901676,1,55.94285,-3.1862702
4774,2486301,Buccleuch Place,Packaging recycling,7901676,2,55.942814,-3.1862852
4775,2486302,Buccleuch Place,General waste,7901676,4,55.942841,-3.18627
4776,2486303,Buccleuch Place,Food waste,7901676,1,55.942975,-3.1853615
4777,2486304,Buccleuch Place,Bottle recycling,7901676,1,55.942975,-3.1853615
4778,2486305,Buccleuch Place,Packaging recycling,7901676,2,55.942975,-3.1853615
4779,2486306,Buccleuch Place,General waste,7901676,4,55.942984,-3.1853457
4780,2486307,Windmill Close,General waste,7905461,1,55.944172,-3.1851418
4781,2486308,Windmill Place,General waste,7904346,2,55.94427,-3.1852729
4782,2486309,Potterrow,General waste,7902101,2,55.945006,-3.1862721
4783,2486310,Potterrow,Bottle recycling,7902101,1,55.945015,-3.1862724
4784,2486311,Potterrow,Bottle recycling,7902101,1,55.945979,-3.1869744
4785,2486312,Potterrow,Packaging recycling,7902101,2,55.945979,-3.1869584
4786,2486313,Potterrow,Paper recycling,7902101,1,55.94689,-3.1875467
4787,2486314,Richmond Place,Textile recycling,7902139,1,55.945833,-3.1834472
4788,2486315,Richmond Place,Packaging recycling,7902139,3,55.945824,-3.183447
4789,2486316,Richmond Place,Paper recycling,7902139,1,55.945824,-3.183447
4790,2486317,Richmond Place,Bottle recycling,7902139,1,55.945842,-3.1834475
4791,2486318,Richmond Place,General waste,7902139,7,55.945833,-3.1834312
4792,2486319,East Adam Street,General waste,7903773,1,55.947375,-3.1828698
4793,2486320,Richmond Place,General waste,7902139,1,55.946946,-3.1835292
4794,2486321,Potterrow,Bottle recycling,7902101,3,55.945805,-3.1872573
4807,2486334,North Meadow Walk,Paper recycling,7903574,1,55.941118,-3.1831593
4808,2486335,Ascham Court,Paper recycling,7905840,2,55.941831,-3.1847021
4813,2486340,Roxburgh Place,Food waste,7902153,1,55.947123,-3.1839029
4814,2486341,Roxburgh Place,Paper recycling,7902153,1,55.947159,-3.183856
5768,2487295,Robertson's Close,General waste,7902143,8,55.948571,-3.1856125
5866,2487393,Webster's Land,General waste,7904344,2,55.946514,-3.1994166
5872,2487399,Lauriston Place,Paper recycling,7902983,1,55.944882,-3.1962758
5917,2487444,Simpson Loan,General waste,7905574,27,55.943829,-3.1918562
5920,2487447,Simpson Loan,General waste,7905574,1,55.943128,-3.1918347
5922,2487449,Simpson Loan,Packaging recycling,7905574,1,55.943129,-3.1918187
5923,2487450,Simpson Loan,Paper recycling,7905574,1,55.943129,-3.1918026
5925,2487452,Simpson Loan,Bottle recycling,7905574,1,55.943128,-3.1918507
5929,2487456,Simpson Loan,Packaging recycling,7905574,1,55.943221,-3.192478
5932,2487459,Simpson Loan,Paper recycling,7905574,1,55.943221,-3.192462
5933,2487460,Simpson Loan,General waste,7905574,1,55.943221,-3.192494
5934,2487461,Simpson Loan,Bottle recycling,7905574,1,55.943221,-3.19251
5937,2487464,Simpson Loan,General waste,7905574,1,55.943445,-3.1925649
5938,2487465,Simpson Loan,Paper recycling,7905574,1,55.943445,-3.1925329
