feature_type_name,LAT,LON
Packaging recycling,55.94472,-3.1860873
Packaging recycling,55.944617,-3.1828177
Packaging recycling,55.947077,-3.1979128
Packaging recycling,55.943862,-3.1828267
Packaging recycling,55.942814,-3.1862852
Packaging recycling,55.942975,-3.1853615
Packaging recycling,55.945979,-3.1869584
Packaging recycling,55.945824,-3.183447
Packaging recycling,55.943129,-3.1918187
Packaging recycling,55.943221,-3.192478
Packaging recycling,55.943445,-3.1925489
Packaging recycling,55.944711,-3.1833009
Packaging recycling,55.944381,-3.1830667
Packaging recycling,55.941292,-3.1828924
Packaging recycling,55.94239,-3.184511
Packaging recycling,55.945015,-3.1862564
Packaging recycling,55.943663,-3.1996807
Packaging recycling,55.948175,-3.1884828
Packaging recycling,55.941899,-3.1842238
Packaging recycling,55.94689,-3.1875627
Packaging recycling,55.943124,-3.19968
Packaging recycling,55.945149,-3.1825938
Packaging recycling,55.945385,-3.1833375
Packaging recycling,55.942348,-3.1861268
Packaging recycling,55.948247,-3.1846899
Packaging recycling,55.944846,-3.1963067
Packaging recycling,55.941831,-3.1847181
Packaging recycling,55.943134,-3.1959337
Packaging recycling,55.943366,-3.193283
Packaging recycling,55.942829,-3.1958603
Packaging recycling,55.943208,-3.1956318
Packaging recycling,55.943146,-3.1965585
Packaging recycling,55.942778,-3.1964671
Packaging recycling,55.94314,-3.1962381
Packaging recycling,55.943242,-3.1949123
Packaging recycling,55.942915,-3.1944379
Packaging recycling,55.943217,-3.1956481
Packaging recycling,55.943294,-3.1941934
Packaging recycling,55.943037,-3.1938173
Packaging recycling,55.942916,-3.1952225
Packaging recycling,55.943053,-3.1931453
Packaging recycling,55.943297,-3.1938893
Packaging recycling,55.943246,-3.1945122
Packaging recycling,55.943212,-3.1952476
Packaging recycling,55.944773,-3.1843756
Packaging recycling,55.943849,-3.1832586
Packaging recycling,55.947358,-3.194911
Packaging recycling,55.948063,-3.1832591
Packaging recycling,55.94305,-3.1832182
Packaging recycling,55.947141,-3.1866577
Packaging recycling,55.947132,-3.1838712
Packaging recycling,55.948544,-3.1855957
Packaging recycling,55.945796,-3.1872891
Packaging recycling,55.947718,-3.1827521
Packaging recycling,55.948939,-3.1865526
Packaging recycling,55.939862,-3.1829769
Packaging recycling,55.940092,-3.1945271
Packaging recycling,55.943522,-3.1993881
Packaging recycling,55.945851,-3.1974265
Packaging recycling,55.945885,-3.196707
Packaging recycling,55.948763,-3.1843373
Packaging recycling,55.948284,-3.1892388
Packaging recycling,55.947421,-3.1967704
Packaging recycling,55.947257,-3.1969255
Packaging recycling,55.94773,-3.1954189
Packaging recycling,55.941771,-3.1834674
Packaging recycling,55.948963,-3.1878344
Packaging recycling,55.948646,-3.1889776
Packaging recycling,55.94253,-3.1970198
Packaging recycling,55.943177,-3.1849833
Packaging recycling,55.946392,-3.1888925
Packaging recycling,55.948769,-3.1874601
Packaging recycling,55.939643,-3.1917436
