feature_type_name,LAT,LON
Bottle recycling,55.944617,-3.1828177
Bottle recycling,55.943831,-3.1832581
Bottle recycling,55.943862,-3.1828107
Bottle recycling,55.94285,-3.1862702
Bottle recycling,55.942975,-3.1853615
Bottle recycling,55.945015,-3.1862724
Bottle recycling,55.945979,-3.1869744
Bottle recycling,55.945842,-3.1834475
Bottle recycling,55.945805,-3.1872573
Bottle recycling,55.943128,-3.1918507
Bottle recycling,55.943221,-3.19251
Bottle recycling,55.943445,-3.1925809
Bottle recycling,55.942488,-3.1986036
Bottle recycling,55.941831,-3.1847501
Bottle recycling,55.943456,-3.1839191
Bottle recycling,55.942488,-3.1846421
Bottle recycling,55.94689,-3.1875627
Bottle recycling,55.943124,-3.199664
Bottle recycling,55.945385,-3.1833375
Bottle recycling,55.942357,-3.1861111
Bottle recycling,55.939625,-3.1917591
Bottle recycling,55.948283,-3.184755
Bottle recycling,55.943139,-3.1962701
Bottle recycling,55.943217,-3.1956801
Bottle recycling,55.942829,-3.1958923
Bottle recycling,55.943133,-3.1959657
Bottle recycling,55.942778,-3.1964991
Bottle recycling,55.942914,-3.1944699
Bottle recycling,55.943246,-3.1945442
Bottle recycling,55.943297,-3.1939213
Bottle recycling,55.943145,-3.1965905
Bottle recycling,55.942916,-3.1952545
Bottle recycling,55.943366,-3.193315
Bottle recycling,55.943053,-3.1931773
Bottle recycling,55.943242,-3.1949443
Bottle recycling,55.943294,-3.1942254
Bottle recycling,55.943212,-3.1952796
Bottle recycling,55.943037,-3.1938493
Bottle recycling,55.944773,-3.1843596
Bottle recycling,55.947367,-3.1948792
Bottle recycling,55.948544,-3.1855797
Bottle recycling,55.947585,-3.1825719
Bottle recycling,55.94002,-3.1946049
Bottle recycling,55.948194,-3.1893161
Bottle recycling,55.947293,-3.1969747
Bottle recycling,55.947393,-3.1967856
Bottle recycling,55.947739,-3.1954672
Bottle recycling,55.948963,-3.1878344
Bottle recycling,55.94253,-3.1969878
