feature_type_name,LAT,LON
General waste,55.947227,-3.1833296
General waste,55.944617,-3.1828177
General waste,55.947349,-3.1958235
General waste,55.945695,-3.191241
General waste,55.945994,-3.19101
General waste,55.94262,-3.1839416
General waste,55.941982,-3.1831056
General waste,55.943152,-3.1828211
General waste,55.942496,-3.1847064
General waste,55.943871,-3.182827
General waste,55.942841,-3.18627
General waste,55.942984,-3.1853457
General waste,55.944172,-3.1851418
General waste,55.94427,-3.1852729
General waste,55.945006,-3.1862721
General waste,55.945833,-3.1834312
General waste,55.947375,-3.1828698
General waste,55.946946,-3.1835292
General waste,55.948571,-3.1856125
General waste,55.946514,-3.1994166
General waste,55.943829,-3.1918562
General waste,55.943128,-3.1918347
General waste,55.943221,-3.192494
General waste,55.943445,-3.1925649
General waste,55.943053,-3.1931613
General waste,55.943366,-3.193299
General waste,55.943037,-3.1938333
General waste,55.943297,-3.1939053
General waste,55.943294,-3.1942094
General waste,55.942914,-3.1944539
General waste,55.943246,-3.1945282
General waste,55.943145,-3.1965745
General waste,55.942778,-3.1964831
General waste,55.94314,-3.1962541
General waste,55.943133,-3.1959497
General waste,55.942829,-3.1958763
General waste,55.943217,-3.1956481
General waste,55.942916,-3.1952385
General waste,55.943242,-3.1949283
General waste,55.945167,-3.1825783
General waste,55.942348,-3.1861268
General waste,55.946006,-3.1869592
General waste,55.948912,-3.1865998
General waste,55.941822,-3.1847018
General waste,55.94689,-3.1875627
General waste,55.947632,-3.1962325
General waste,55.947962,-3.1946414
General waste,55.946479,-3.1984707
General waste,55.947657,-3.1945839
General waste,55.943484,-3.1941352
General waste,55.943478,-3.1937508
General waste,55.943212,-3.1952636
General waste,55.943402,-3.1941647
General waste,55.944773,-3.1843596
General waste,55.946869,-3.1971377
General waste,55.94384,-3.1832583
General waste,55.946559,-3.199482
General waste,55.948793,-3.1887099
General waste,55.946602,-3.1987307
General waste,55.947358,-3.194895
General waste,55.948479,-3.1886042
General waste,55.9411,-3.1831588
General waste,55.944703,-3.1832526
General waste,55.944814,-3.1959375
General waste,55.944875,-3.1952028
General waste,55.945442,-3.1838837
General waste,55.944592,-3.1854429
General waste,55.944867,-3.1848909
General waste,55.944995,-3.1846226
General waste,55.943699,-3.1848392
General waste,55.943877,-3.1841081
General waste,55.943808,-3.1837697
General waste,55.946988,-3.182938
General waste,55.947742,-3.1941702
General waste,55.942877,-3.1834371
General waste,55.943385,-3.1839009
General waste,55.943438,-3.1839506
General waste,55.944574,-3.1826403
General waste,55.945003,-3.1828295
General waste,55.939736,-3.1830051
General waste,55.946375,-3.1831115
General waste,55.943892,-3.1844448
General waste,55.944721,-3.1860713
General waste,55.945535,-3.1863844
General waste,55.945064,-3.1858896
General waste,55.947727,-3.1827364
General waste,55.945915,-3.1860918
General waste,55.947608,-3.1923086
General waste,55.939862,-3.1829609
General waste,55.939765,-3.1837264
General waste,55.939714,-3.1843493
General waste,55.942457,-3.1989549
General waste,55.942322,-3.1999434
General waste,55.948237,-3.1848337
General waste,55.946365,-3.184152
General waste,55.946272,-3.1845174
General waste,55.948746,-3.1842567
General waste,55.946787,-3.1953578
General waste,55.944408,-3.1830835
General waste,55.948293,-3.1892871
General waste,55.941797,-3.1835963
General waste,55.942103,-3.182581
General waste,55.945385,-3.1833375
General waste,55.947947,-3.1934239
General waste,55.948972,-3.1878186
General waste,55.948956,-3.1857524
General waste,55.948681,-3.1891068
General waste,55.947226,-3.1909037
General waste,55.94253,-3.1969878
General waste,55.942542,-3.196764
General waste,55.948998,-3.1953298
General waste,55.947402,-3.1922382
General waste,55.941283,-3.1828762
General waste,55.941336,-3.1829578
General waste,55.941772,-3.1834034
General waste,55.942949,-3.1844
General waste,55.943195,-3.1849038
General waste,55.941917,-3.1842244
General waste,55.93967,-3.192689
