feature_type_name,LAT,LON
Paper recycling,55.944773,-3.1843436
Paper recycling,55.939862,-3.1829769
Paper recycling,55.94689,-3.1875467
Paper recycling,55.945824,-3.183447
Paper recycling,55.941118,-3.1831593
Paper recycling,55.941831,-3.1847021
Paper recycling,55.947159,-3.183856
Paper recycling,55.944882,-3.1962758
Paper recycling,55.943129,-3.1918026
Paper recycling,55.943221,-3.192462
Paper recycling,55.943445,-3.1925329
Paper recycling,55.943053,-3.1931293
Paper recycling,55.948264,-3.1847865
Paper recycling,55.943218,-3.1956161
Paper recycling,55.942829,-3.1958443
Paper recycling,55.943212,-3.1952316
Paper recycling,55.94314,-3.1962221
Paper recycling,55.942916,-3.1952065
Paper recycling,55.943246,-3.1944962
Paper recycling,55.943297,-3.1938733
Paper recycling,55.943294,-3.1941774
Paper recycling,55.943146,-3.1965425
Paper recycling,55.942778,-3.1964511
Paper recycling,55.943134,-3.1959177
Paper recycling,55.943243,-3.1948963
Paper recycling,55.942915,-3.1944219
Paper recycling,55.943038,-3.1938012
Paper recycling,55.943366,-3.193267
Paper recycling,55.947358,-3.194895
Paper recycling,55.948036,-3.1832903
Paper recycling,55.943447,-3.1839509
Paper recycling,55.947141,-3.1866737
Paper recycling,55.939736,-3.1830051
Paper recycling,55.947629,-3.1826213
Paper recycling,55.942449,-3.1989226
Paper recycling,55.942368,-3.1998168
Paper recycling,55.943522,-3.1993881
Paper recycling,55.945869,-3.1974431
Paper recycling,55.945885,-3.196659
Paper recycling,55.948799,-3.1843064
Paper recycling,55.948257,-3.18927
Paper recycling,55.947284,-3.1969264
Paper recycling,55.947721,-3.1954826
Paper recycling,55.947394,-3.1967216
Paper recycling,55.942095,-3.1825327
Paper recycling,55.948954,-3.1878501
Paper recycling,55.948795,-3.1884057
Paper recycling,55.94253,-3.1969878
Paper recycling,55.94641,-3.1888611
