feature_type_name,LAT,LON
Food waste,55.926587,-3.1870696
Food waste,55.927974,-3.1660815
Food waste,55.927988,-3.169299
Food waste,55.924058,-3.1667961
Food waste,55.921197,-3.1672222
Food waste,55.921591,-3.1654578
Food waste,55.922008,-3.1651182
Food waste,55.922396,-3.1649218
Food waste,55.927794,-3.1670844
Food waste,55.917808,-3.1635522
Food waste,55.918126,-3.1642017
Food waste,55.918334,-3.1630399
Food waste,55.918934,-3.1622898
Food waste,55.918839,-3.162863
Food waste,55.918993,-3.1636517
Food waste,55.919196,-3.1640578
