feature_type_name,LAT,LON
General waste,55.926472,-3.1822328
General waste,55.926031,-3.1841399
General waste,55.92228,-3.18737
General waste,55.926311,-3.1821319
General waste,55.921645,-3.1654434
General waste,55.922044,-3.1651033
General waste,55.924067,-3.1667964
General waste,55.921197,-3.1672222
General waste,55.922405,-3.1649061
General waste,55.927758,-3.1670513
General waste,55.927974,-3.1660975
General waste,55.923533,-3.16534
General waste,55.923502,-3.1657392
General waste,55.917884,-3.1631864
General waste,55.917201,-3.163166
General waste,55.917414,-3.1633964
General waste,55.917844,-3.1635532
General waste,55.917363,-3.1631068
General waste,55.917884,-3.1621784
General waste,55.919157,-3.1644086
General waste,55.918349,-3.1614882
General waste,55.918352,-3.1630404
General waste,55.918475,-3.1642762
General waste,55.91845,-3.1650755
General waste,55.917784,-3.1632314
General waste,55.918071,-3.1642321
General waste,55.926794,-3.1852034
General waste,55.924091,-3.1775033
General waste,55.926746,-3.181793
General waste,55.918833,-3.1625588
General waste,55.918851,-3.1616313
General waste,55.918845,-3.1622551
General waste,55.918857,-3.1619035
General waste,55.918963,-3.1630907
General waste,55.918986,-3.1634595
General waste,55.918993,-3.1636517
General waste,55.919115,-3.1640554
General waste,55.925151,-3.1680932
General waste,55.926299,-3.1862446
General waste,55.926596,-3.1870699
General waste,55.925895,-3.1833995
General waste,55.926056,-3.1843487
General waste,55.92615,-3.1848797
General waste,55.926201,-3.1851533
General waste,55.926295,-3.1856683
General waste,55.926705,-3.1860169
