feature_type_name,LAT,LON
Packaging recycling,55.92649,-3.1822333
Packaging recycling,55.923578,-3.1653254
Packaging recycling,55.923484,-3.1657387
Packaging recycling,55.924049,-3.1667958
Packaging recycling,55.9216,-3.165442
Packaging recycling,55.926587,-3.1870696
Packaging recycling,55.918108,-3.1641852
Packaging recycling,55.917172,-3.1633411
Packaging recycling,55.926727,-3.1818565
Packaging recycling,55.926311,-3.1821479
Packaging recycling,55.918903,-3.1618408
Packaging recycling,55.918935,-3.1622258
Packaging recycling,55.918937,-3.1629779
Packaging recycling,55.91902,-3.1636685
Packaging recycling,55.919187,-3.1640575
Packaging recycling,55.921197,-3.1672222
Packaging recycling,55.92775,-3.1669871
Packaging recycling,55.922387,-3.1649376
Packaging recycling,55.926803,-3.1852197
Packaging recycling,55.924082,-3.177503
Packaging recycling,55.922742,-3.1869841
Packaging recycling,55.926072,-3.1628876
Packaging recycling,55.925151,-3.1680932
Packaging recycling,55.919089,-3.1810159
Packaging recycling,55.926714,-3.1860492
Packaging recycling,55.926311,-3.1849966
