,OBJECTID,site_name,feature_type_name,site_code,number_bins,LAT,LON
3523,2485049,Charterhall Grove,Food waste,7901703,1,55.926587,-3.1870696
4309,2485836,Esslemont Road Lane,Textile recycling,7904139,1,55.92516,-3.1680775
4316,2485843,Orrok Lane,Paper recycling,7905558,1,55.921998,-3.1651819
4331,2485858,Watertoun Road,Bottle recycling,7902259,1,55.92649,-3.1822493
4332,2485859,Watertoun Road,Packaging recycling,7902259,1,55.92649,-3.1822333
4333,2485860,Watertoun Road,General waste,7902259,1,55.926472,-3.1822328
4644,2486171,East Suffolk Park,Food waste,7905427,1,55.927974,-3.1660815
6005,2487532,Blackford Avenue,General waste,7901644,1,55.926031,-3.1841399
6008,2487535,Observatory Road,General waste,7902063,1,55.92228,-3.18737
6207,2487734,Jean Armour Avenue,Bottle recycling,7903674,1,55.918349,-3.1614722
6208,2487735,Jean Armour Avenue,Bottle recycling,7903674,1,55.918343,-3.1630402
6210,2487737,Watertoun Road,Bottle recycling,7902259,1,55.926311,-3.1821159
6211,2487738,Watertoun Road,General waste,7902259,1,55.926311,-3.1821319
6221,2487748,Suffolk Road Lane,Food waste,7904398,1,55.927988,-3.169299
6277,2487804,Orrok Lane,General waste,7905558,2,55.921645,-3.1654434
6279,2487806,Orrok Lane,General waste,7905558,2,55.922044,-3.1651033
6285,2487812,Nether Liberton Court,Packaging recycling,7904806,3,55.923578,-3.1653254
6287,2487814,Nether Liberton Court,Packaging recycling,7904806,4,55.923484,-3.1657387
6290,2487817,Liberton Road,Bottle recycling,7901910,1,55.924032,-3.1667793
6845,2488372,Liberton Road,Packaging recycling,7901910,4,55.924049,-3.1667958
6846,2488373,Liberton Road,Food waste,7901910,1,55.924058,-3.1667961
6847,2488374,Liberton Road,General waste,7901910,5,55.924067,-3.1667964
7432,2488959,Orrok Lane,Packaging recycling,7905558,2,55.9216,-3.165442
7600,2489127,Charterhall Grove,Packaging recycling,7901703,1,55.926587,-3.1870696
7789,2489316,Cumnor Crescent,Packaging recycling,7901737,2,55.918108,-3.1641852
8091,2489617,Clarinda Terrace,Packaging recycling,7904377,1,55.917172,-3.1633411
8197,2489723,Watertoun Road,Packaging recycling,7902259,1,55.926727,-3.1818565
8198,2489724,Watertoun Road,Packaging recycling,7902259,1,55.926311,-3.1821479
8199,2489725,Watertoun Road,Bottle recycling,7902259,1,55.926736,-3.1818407
8238,2489764,Clarinda Terrace,Bottle recycling,7904377,1,55.917172,-3.1633411
8308,2489834,Charterhall Grove,Bottle recycling,7901703,1,55.926579,-3.1870373
8356,2489882,Blackford Avenue,Bottle recycling,7901644,1,55.926319,-3.1850289
8507,2490033,West Savile Terrace,Bottle recycling,7902286,1,55.926776,-3.1851549
8640,2490166,Robert Burns Drive,Bottle recycling,7902142,1,55.918914,-3.1616171
8641,2490167,Robert Burns Drive,Bottle recycling,7902142,1,55.918935,-3.1621938
8642,2490168,Robert Burns Drive,Bottle recycling,7902142,1,55.918937,-3.1629459
8643,2490169,Robert Burns Drive,Bottle recycling,7902142,1,55.919002,-3.1636839
8644,2490170,Robert Burns Drive,Bottle recycling,7902142,1,55.919196,-3.1640738
8686,2490212,Robert Burns Drive,Packaging recycling,7902142,3,55.918903,-3.1618408
8687,2490213,Robert Burns Drive,Packaging recycling,7902142,2,55.918935,-3.1622258
8688,2490214,Robert Burns Drive,Packaging recycling,7902142,2,55.918937,-3.1629779
8689,2490215,Robert Burns Drive,Packaging recycling,7902142,2,55.91902,-3.1636685
8690,2490216,Robert Burns Drive,Packaging recycling,7902142,1,55.919187,-3.1640575
8991,2490517,Liberton Road,Bottle recycling,7901910,1,55.921197,-3.1672222
8992,2490518,Liberton Road,Packaging recycling,7901910,4,55.921197,-3.1672222
8993,2490519,Liberton Road,General waste,7901910,6,55.921197,-3.1672222
8994,2490520,Liberton Road,Food waste,7901910,1,55.921197,-3.1672222
9822,2491348,East Suffolk Park,Paper recycling,7905427,1,55.927803,-3.1670047
9823,2491349,East Suffolk Park,Bottle recycling,7905427,1,55.927785,-3.1670042
9824,2491350,East Suffolk Park,Bottle recycling,7905427,1,55.927991,-3.1661141
9825,2491351,East Suffolk Park,Packaging recycling,7905427,2,55.92775,-3.1669871
9826,2491352,East Suffolk Park,Paper recycling,7905427,1,55.927983,-3.1660818
10261,2491787,Orrok Park,Bottle recycling,7903448,1,55.922387,-3.1649216
10262,2491788,Orrok Park,Packaging recycling,7903448,1,55.922387,-3.1649376
10263,2491789,Orrok Park,Paper recycling,7903448,1,55.922387,-3.1649376
10844,2492370,West Savile Terrace,Paper recycling,7902286,1,55.926803,-3.1852197
10845,2492371,West Savile Terrace,Packaging recycling,7902286,1,55.926803,-3.1852197
10852,2492378,West Mains Road,Bottle recycling,7902274,1,55.924073,-3.1774868
