feature_type_name,LAT,LON
Bottle recycling,55.92649,-3.1822493
Bottle recycling,55.918349,-3.1614722
Bottle recycling,55.918343,-3.1630402
Bottle recycling,55.926311,-3.1821159
Bottle recycling,55.924032,-3.1667793
Bottle recycling,55.926736,-3.1818407
Bottle recycling,55.917172,-3.1633411
Bottle recycling,55.926579,-3.1870373
Bottle recycling,55.926319,-3.1850289
Bottle recycling,55.926776,-3.1851549
Bottle recycling,55.918914,-3.1616171
Bottle recycling,55.918935,-3.1621938
Bottle recycling,55.918937,-3.1629459
Bottle recycling,55.919002,-3.1636839
Bottle recycling,55.919196,-3.1640738
Bottle recycling,55.921197,-3.1672222
Bottle recycling,55.927785,-3.1670042
Bottle recycling,55.927991,-3.1661141
Bottle recycling,55.922387,-3.1649216
Bottle recycling,55.924073,-3.1774868
Bottle recycling,55.922742,-3.1869841
Bottle recycling,55.925151,-3.1680932
Bottle recycling,55.926714,-3.1860332
